SW;SCRE;LW;LCRE;CFnet;Fnet;SW_surf;LW_surf;LH;SH;Lf_snow;Fnet_surf;Fnet_toa_min_surf;CC;LWP;IWP;PWAT;Prcp_lsc;Prcp_cv;Prcp_tot;Prcp_snow;Prcp_rain;Temp_srf;Temp_2m;WMO_TP;O3_column
233.9544;-50.85194;-232.85672;27.098866;-23.753073;1.0976881;158.02084;-52.881542;-84.24776;-19.660215;-0.69358814;0.5377501;0.559938;63.539856;66.61144;27.561514;26.478065;1.0642974;1.8467554;2.911053;0.17958051;2.7314723;288.85437;288.10526;15140.612;310.25635
235.52397;-51.567905;-232.40677;26.97403;-24.593874;3.1172016;159.33383;-52.681927;-83.89249;-19.926413;-0.71126974;2.1217353;0.99546623;63.77673;65.63313;27.668955;26.184326;1.0540171;1.8410848;2.8951018;0.18415853;2.7109432;288.51102;287.7228;15295.507;311.82504
235.3608;-51.667145;-232.37737;27.004395;-24.66275;2.9834313;159.15714;-52.53625;-83.86298;-19.89959;-0.7636334;2.0946732;0.8887581;63.775265;65.85737;27.834044;26.344599;1.0781411;1.8136463;2.8917875;0.19771628;2.694071;288.54276;287.75427;15158.089;307.42957
235.32216;-51.57288;-232.36664;26.927504;-24.645376;2.9555237;159.07562;-52.504276;-84.23956;-19.63084;-0.72932774;1.9716138;0.98390985;63.57677;66.763504;27.816393;26.554863;1.0773944;1.8271832;2.9045777;0.18883404;2.7157435;288.55536;287.79007;15197.362;309.57196
234.8942;-52.009914;-232.25496;27.059454;-24.95046;2.6392422;158.56667;-52.114677;-84.04182;-19.887074;-0.73059845;1.7925013;0.84674084;64.202934;66.79444;27.755697;26.431787;1.0649784;1.8372409;2.9022193;0.18916304;2.713056;288.59308;287.8047;15226.818;306.61423
235.21255;-51.834835;-232.29158;26.96621;-24.868626;2.9209676;158.91142;-52.277374;-84.19073;-19.584135;-0.74232596;2.1168613;0.80410624;63.661808;66.7632;27.811787;26.59608;1.0672476;1.8406925;2.9079401;0.19219947;2.7157407;288.61813;287.85767;15230.4795;307.697
235.53487;-51.528694;-232.38127;26.909964;-24.61873;3.1535869;159.31465;-52.451046;-84.20949;-19.743565;-0.71761036;2.1929386;0.96064836;63.61857;66.2914;27.633224;26.391483;1.0579469;1.8468006;2.9047475;0.18580022;2.7189472;288.63098;287.85977;15281.362;307.9833
235.1113;-51.721313;-231.93425;26.870451;-24.850864;3.1770532;158.87648;-52.307186;-83.78428;-19.563013;-0.7422355;2.4797628;0.69729024;63.736755;66.17193;27.750214;26.353895;1.0569494;1.8367705;2.89372;0.19217604;2.7015438;288.51416;287.7231;15270.932;307.72205
235.71693;-51.039917;-232.39334;26.58664;-24.453278;3.3235958;159.67885;-52.85316;-83.944786;-19.824476;-0.74745494;2.308966;1.0146298;63.120518;65.07208;27.545391;26.14171;1.0494357;1.8456354;2.895071;0.19352745;2.7015438;288.4926;287.70773;15307.447;307.63354
235.33316;-51.363705;-231.86661;27.066944;-24.29676;3.4665494;159.10486;-52.37971;-83.80139;-19.654856;-0.7473919;2.5215025;0.94504684;63.75857;65.873344;27.844318;26.580748;1.0710459;1.8203309;2.8913767;0.19351111;2.6978657;288.61023;287.84802;15252.226;307.34393
234.49162;-52.199577;-232.42978;26.717995;-25.48158;2.0618389;157.9441;-51.806236;-84.86283;-19.258686;-0.74283946;1.2735175;0.78832144;63.451717;68.4532;27.761047;26.742105;1.092545;1.8357954;2.9283404;0.19233243;2.7360082;288.55103;287.8052;15179.607;311.27585
